author,Contributing State,title,Publication Info, genre,Link to text
Ellen Martin,Mississippi,The Feet of Clay; a Novel,"New York: Brown & Derby, 1882.",Novel,https://hdl.handle.net/2027/hvd.hxdlwe
"Mrs. M. M. Sanford, M. Malonia (Ray) Sandford",Minnesota,A Visit to El-Fay-Gno Land,"New York:: Author's Pub. Co., 1879.",Novel,https://www.loc.gov/resource/dcmsiabooks.visittoelfaygnol00sanf/?sp=1
"Mrs. M. M. Sanford, M. Malonia (Ray) Sandford",Minnesota,Berrisford,"New York: Authors ̓Pub. Co., 1879.",Novel,https://hdl.handle.net/2027/osu.32435018016311
Frances A. Shaw,Minnesota,"The Art of Oratory; System of Delsarte, Delaumosne, abbé","Albany, NY: E. S. Werner, 1884.",Textbook,https://hdl.handle.net/2027/mdp.39015065249974
Frances A. Shaw,Minnesota,Broken Chains,"Boston: J.R. Osgood, 1875.",Novel,
Frances A. Shaw,Minnesota,Famous French Authors; Biographical Portraits of Distinguished French Writers,"New York: R. Worthington, 1879.",Biography,https://hdl.handle.net/2027/nyp.33433075781157
Frances A. Shaw,Minnesota,Good Luck!,"Boston: Y.R. Osgood, 1875.",Novel,German edition: https://hdl.handle.net/2027/hvd.hny9b8
 Jane Grey Cannon Swisshelm,Minnesota,Half a Century,"Chicago: Jansen, McClung & Company, 1880.",Memoir,https://hdl.handle.net/2027/mdp.39015019050056
Frances A. Shaw,Minnesota,A Brief History of Russia; From the Small Beginnings of the Nation to the Present Vast Proportions of the Empire; with Accounts of the Successive Dynasties,"Boston: Osgood, 1877.","History, Scholarly Work",https://hdl.handle.net/2027/hvd.hn362f
"Minnie Mary Lee, Julia A. A. Wood, Julia Amanda Sargent Wood",Minnesota,Hubert's Wife: A Story for You,"Baltimore: John P. Piet, 1873.",Novel,https://www.gutenberg.org/ebooks/21949
Eleanor C. Donnelly,Minnesota,Hymns of the Sacred Heart,,Music,
Jane Grey Swisshelm,Minnesota,Letters to Country Girls,"New York: J.C. Riker, 1858. ",Advice Literature,https://hdl.handle.net/2027/umn.31951002312574b
Edna A. Brainard,Minnesota,Maple Range; a Frontier Romance,"Chicago: H. A. Sumner, 1882.",Novel,https://hdl.handle.net/2027/nnc1.1002159104
Eleanor C. Donnelly,Minnesota,Our Birthday Bouquet; culled from the Shrines of the Saints and the Gardens of the Poets,"NewYork: Benziger Brothers, 1884. ","Religious Instruction, Poetry",https://hdl.handle.net/2027/loc.ark:/13960/t4xh0rq4w
Eleanor C. Donnelly,Minnesota,Out of Sweet Solitude,"Philadelphia: J.B. Lippincott & Co., 1873.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t5hb00g6f
Frances A. Shaw,Minnesota,Renee and Franz (Le bleuet); From the French of Gustave Haller,"New York: D. Appleton and Company, 1878.",Novel,https://hdl.handle.net/2027/hvd.hnt6i2
"Minnie Mary Lee, Julia A. A. Wood, Julia Amanda Sargent Wood",Minnesota,"Strayed from the Fold; A Story of Life in the Northwest, Founded on Facts","New York: PJ Kennedy Excelsior Catholic Publishing House, 1891.",Novel,https://archive.org/details/strayedfromfolds00leemuoft
"Minnie Mary Lee, Julia A. A. Wood, Julia Amanda Sargent Wood",Minnesota,The Brown House at Duffield; A Story of Life Without and Within the Fold,"Baltimore: Kelly, Piet, & Co., 1876.",Novel,https://hdl.handle.net/2027/osu.32435018037556
"Minnie Mary Lee, Julia A. A. Wood, Julia Amanda Sargent Wood",Minnesota,"The Heart of Myrrha Lake, or, Into the Light of Catholicity","New York : Catholic Publication Society, 1872.",Novel,https://archive.org/details/heartofmyrrhalak00leem/page/n0
"Minnie Mary Lee, Julia A. A. Wood, Julia Amanda Sargent Wood",Minnesota,The Story of Annette and Her Five Dolls,"Baltimore: John B. Piet & Company, 1878.",Novel,
Mrs. W. J. Arnold,Minnesota,The Poets and Poetry of Minnesota,"Chicago: S.P. Rounds, 1864.",Poetry,https://hdl.handle.net/2027/hvd.hnmhkz
"Minnie Mary Lee, Julia A. A. Wood, Julia Amanda Sargent Wood",Minnesota,"Basil, Beatrice, Ethel; or, Three-times-three; an Interesting Story of Real Life","Baltimore: John B. Piet, 1883.",Novel,https://hdl.handle.net/2027/osu.32435017651217
Frances A. Shaw,Minnesota,Vineta; the Phantom City,"Boston: Estes and Lauriat, 1877",Novel,https://www.gutenberg.org/ebooks/35007
Frances A. Shaw,Minnesota,Victor Hugo; His Life and Works,"Chicago: Griggs, 1881.",Biography,https://hdl.handle.net/2027/iau.31858004455196
Mrs. F. E. Henderson,New Jersey,An Epitome of Modern European Literature,"Philadelphia: Lippincott, 1883.",,https://hdl.handle.net/2027/coo1.ark:/13960/t0jt07h0n
Erminnie A. Smith,New Jersey,"Annual Report of the Bureau of Ethnology, with notes upon Folk-Lore of the Indians","Ohsweken, Ontario, Canada: Iroqrafts, 1989.",Report,https://archive.org/details/mythsiroquois00unkngoog/page/n2
Phoebe A. Hannaford,New Jersey,"Daughters of America: Or, Women of the Century","Augusta, ME:, True and Company, 1882.",Biography,https://hdl.handle.net/2027/loc.ark:/13960/t2h70ss64
